Найдено 517 бенчмарков
Пропущено 0 уже обработанных, осталось 517
[228/517] anghabench__rufus__extr_alloc_stats_c_ext2fs_block_alloc_stats_range: 10000 ok, 0 fail (10205s, ETA 12936s)
[229/517] anghabench__rufus__extr_udf_fs_c_udf_get_lba: 10000 ok, 0 fail (10335s, ETA 12998s)
[230/517] anghabench__scrcpy__extr_input_manager_c_input_manager_process_mouse_button: 10000 ok, 0 fail (10346s, ETA 12910s)
[231/517] anghabench__scrcpy__extr_stream_c_stream_push_packet: 10000 ok, 0 fail (10395s, ETA 12870s)
[232/517] anghabench__seafile__extr_wt_monitor_win32_c_handle_watch_command: 10000 ok, 0 fail (10412s, ETA 12790s)
[233/517] anghabench__seafile__extr_wt_monitor_linux_c_handle_watch_command: 10000 ok, 0 fail (10412s, ETA 12691s)
[234/517] anghabench__skynet__extr_lvm_c_luaV_concat: 10000 ok, 0 fail (10468s, ETA 12660s)
[235/517] anghabench__skynet__extr_skynet_main_c_main: 10000 ok, 0 fail (10591s, ETA 12709s)
[236/517] anghabench__sqlcipher__extr_btree_c_clearDatabasePage: 10000 ok, 0 fail (10608s, ETA 12631s)
[237/517] anghabench__sqlcipher__extr_os_unix_c_findCreateFileMode: 10000 ok, 0 fail (10655s, ETA 12588s)
[238/517] anghabench__stb__extr_cave_render_c_mesh_worker_handler: 10000 ok, 0 fail (10674s, ETA 12512s)
[239/517] anghabench__stb__extr_stb_vorbis_c_compute_sorted_huffman: 10000 ok, 0 fail (10683s, ETA 12427s)
[240/517] anghabench__streem__extr_node_c_node_free: 10000 ok, 0 fail (10723s, ETA 12376s)
[241/517] anghabench__streem__extr_time_c_time_str: 10000 ok, 0 fail (10855s, ETA 12431s)
[242/517] anghabench__sumatrapdf__extr_cmspack_c_PackHalfFromFloat: 10000 ok, 0 fail (10871s, ETA 12353s)
[243/517] anghabench__sway__extr_sticky_c_cmd_sticky: 10000 ok, 0 fail (10930s, ETA 12324s)
[244/517] anghabench__sway__extr_workspace_c_cmd_workspace_gaps: 10000 ok, 0 fail (10949s, ETA 12250s)
[245/517] anghabench__systemd__extr_fs_util_c_fchmod_and_chown: 10000 ok, 0 fail (10985s, ETA 12195s)
[246/517] anghabench__sumatrapdf__extr_pixmap_c_clear_cmyk_bitmap: 10000 ok, 0 fail (10987s, ETA 12103s)
[247/517] anghabench__systemd__extr_job_c_job_start_timer: 10000 ok, 0 fail (11111s, ETA 12146s)
[248/517] anghabench__tengine__extr_ngx_http_lua_socket_tcp_c_ngx_http_lua_socket_handle_read_error: 10000 ok, 0 fail (11124s, ETA 12066s)
[249/517] anghabench__tengine__extr_ngx_http_tfs_duplicate_c_ngx_http_tfs_dedup_remove: 10000 ok, 0 fail (11183s, ETA 12036s)
[250/517] anghabench__tg__extr_interface_c_print_user_name: 10000 ok, 0 fail (11211s, ETA 11973s)
[251/517] anghabench__the_silver_searcher__extr_decompress_c_is_zipped: 10000 ok, 0 fail (11239s, ETA 11911s)
[252/517] anghabench__tg__extr_interface_c_secret_chat_update_gw: 10000 ok, 0 fail (11240s, ETA 11820s)
[253/517] anghabench__the_silver_searcher__extr_ignore_c_add_ignore_pattern: 10000 ok, 0 fail (11383s, ETA 11877s)
[254/517] anghabench__tig__extr_hashtab_c_htab_expand: 10000 ok, 0 fail (11383s, ETA 11786s)
[255/517] anghabench__tig__extr_help_c_help_draw: 10000 ok, 0 fail (11444s, ETA 11758s)
[256/517] anghabench__timescaledb__extr_bgw_message_queue_c_enqueue_message_wait_for_ack: 10000 ok, 0 fail (11467s, ETA 11691s)
[257/517] anghabench__timescaledb__extr_deltadelta_c_delta_delta_from_parts: 10000 ok, 0 fail (11494s, ETA 11628s)
[258/517] anghabench__tini__extr_tini_c_configure_signals: 10000 ok, 0 fail (11498s, ETA 11542s)
[259/517] anghabench__tmux__extr_cmd_swap_window_c_cmd_swap_window_exec: 10000 ok, 0 fail (11638s, ETA 11593s)
[260/517] anghabench__tini__extr_tini_c_parse_args: 10000 ok, 0 fail (11645s, ETA 11510s)
[261/517] anghabench__tmux__extr_names_c_check_window_name: 10000 ok, 0 fail (11701s, ETA 11477s)
[262/517] anghabench__torch7__extr_convolve5x5_sse_c_convolve_5x5_sse: 10000 ok, 0 fail (11733s, ETA 11419s)
[263/517] anghabench__torch7__extr_luaT_c_luaT_stackdump: 10000 ok, 0 fail (11754s, ETA 11352s)
[264/517] anghabench__toxcore__extr_TCP_server_c_add_accepted: 10000 ok, 0 fail (11758s, ETA 11268s)
[265/517] anghabench__toxcore__extr___toxcoreDHT_c_do_NAT: 10000 ok, 0 fail (11899s, ETA 11315s)
[266/517] anghabench__twemproxy__extr_nc_redis_c_redis_copy_bulk: 10000 ok, 0 fail (11913s, ETA 11241s)
[267/517] anghabench__twemproxy__extr_nc_redis_c_redis_post_connect: 10000 ok, 0 fail (11957s, ETA 11196s)
[268/517] anghabench__upx__extr_i386_openbsd_elf_main_c_xfind_pages: 10000 ok, 0 fail (12001s, ETA 11150s)
[269/517] anghabench__vlc__extr_ftp_c_Connect: 10000 ok, 0 fail (12009s, ETA 11071s)
[270/517] anghabench__vlc__extr_mp4_c_FragGetMoofBySidxIndex: 10000 ok, 0 fail (12019s, ETA 10995s)
[271/517] anghabench__wcdb__extr_sqlite3_c_clearDatabasePage: 10000 ok, 0 fail (12161s, ETA 11039s)
[272/517] anghabench__wcdb__extr_sqlite3_c_findCreateFileMode: 10000 ok, 0 fail (12174s, ETA 10965s)
[273/517] anghabench__winfile__extr_tbar_c_HandleToolbarSave: 10000 ok, 0 fail (12212s, ETA 10915s)
[274/517] anghabench__winfile__extr_wfinit_c_FreeFileManager: 10000 ok, 0 fail (12256s, ETA 10869s)
[275/517] anghabench__wrk__extr_http_parser_c_http_parse_host: 10000 ok, 0 fail (12275s, ETA 10802s)
[276/517] anghabench__wrk__extr_wrk_c_parse_args: 10000 ok, 0 fail (12283s, ETA 10725s)
[277/517] anghabench__xLua__extr_lj_asm_c_ra_allocref: 10000 ok, 0 fail (12419s, ETA 10760s)
[278/517] anghabench__xLua__extr_llex_c_read_string: 10000 ok, 0 fail (12436s, ETA 10692s)
[279/517] anghabench__xhyve__extr_fbsd_c_fbsd_load: 10000 ok, 0 fail (12471s, ETA 10638s)
[280/517] anghabench__xhyve__extr_pci_ahci_c_atapi_read: 10000 ok, 0 fail (12512s, ETA 10591s)
[281/517] anghabench__yaf__extr_yaf_view_simple_c_yaf_view_exec_tpl: 10000 ok, 0 fail (12529s, ETA 10523s)
[282/517] anghabench__yaf__extr_yaf_view_simple_c_yaf_view_simple_eval: 10000 ok, 0 fail (12536s, ETA 10447s)
[283/517] anghabench__zfs__extr_rdwr_efi_c_efi_alloc_and_init: 10000 ok, 0 fail (12679s, ETA 10484s)
[284/517] anghabench__zfs__extr_zfs_ioctl_c_zfs_ioc_pool_set_props: 10000 ok, 0 fail (12695s, ETA 10416s)
[285/517] anghabench__zstd__extr_divsufsort_c_sssort: 10000 ok, 0 fail (12730s, ETA 10363s)
[286/517] anghabench__zstd__extr_seqgen_c_SEQ_gen_offset: 10000 ok, 0 fail (12783s, ETA 10325s)
[287/517] benchmarkgame__fannkuch: 10000 ok, 0 fail (12965s, ETA 10390s)
[288/517] asc_sequoia__CrystalMk: 9999 ok, 1 fail (12989s, ETA 10328s)
[289/517] benchmarkgame__n-body: 10000 ok, 0 fail (12997s, ETA 10253s)
[290/517] benchmarkgame__nsieve-bits: 10000 ok, 0 fail (13003s, ETA 10178s)
[291/517] benchmarkgame__partialsums: 9999 ok, 1 fail (13058s, ETA 10141s)
[292/517] asc_sequoia__AMGmk: 9985 ok, 15 fail (13232s, ETA 10196s)
[293/517] benchmarkgame__puzzle: 10000 ok, 0 fail (13239s, ETA 10121s)
[294/517] benchmarkgame__recursive: 10000 ok, 0 fail (13255s, ETA 10054s)
[295/517] benchmarkgame__spectral-norm: 10000 ok, 0 fail (13277s, ETA 9991s)
[296/517] bitbench__drop3: 10000 ok, 0 fail (13311s, ETA 9939s)
[297/517] bitbench__five11: 10000 ok, 0 fail (13351s, ETA 9889s)
[298/517] bitbench__uudecode: 10000 ok, 0 fail (13541s, ETA 9952s)
[299/517] bitbench__uuencode: 10000 ok, 0 fail (13571s, ETA 9895s)
[300/517] cbench__automotive_bitcount: 10000 ok, 0 fail (13603s, ETA 9839s)
[301/517] cbench__automotive_qsort1: 10000 ok, 0 fail (13613s, ETA 9769s)
[302/517] cbench__bzip2d: 9996 ok, 4 fail (18322s, ETA 13044s)
[303/517] cbench__bzip2e: 9991 ok, 9 fail (18434s, ETA 13020s)
[304/517] cbench__consumer_jpeg_c: 9998 ok, 2 fail (19304s, ETA 13525s)
[305/517] cbench__consumer_lame: 9950 ok, 50 fail (22579s, ETA 15694s)
[306/517] cbench__consumer_jpeg_d: 10000 ok, 0 fail (23765s, ETA 16387s)
[307/517] cbench__consumer_tiff2bw: 9997 ok, 3 fail (26605s, ETA 18199s)
[308/517] cbench__consumer_tiff2rgba: 9995 ok, 5 fail (29875s, ETA 20273s)
[309/517] cbench__network_dijkstra: 10000 ok, 0 fail (30251s, ETA 20363s)
[310/517] cbench__office_stringsearch1: 10000 ok, 0 fail (30727s, ETA 20518s)
[311/517] cbench__consumer_tiffdither: 9993 ok, 7 fail (31037s, ETA 20558s)
[312/517] cbench__security_blowfish_d: 10000 ok, 0 fail (32605s, ETA 21423s)
[313/517] cbench__automotive_susan_e: 10000 ok, 0 fail (32853s, ETA 21412s)
[314/517] cbench__security_blowfish_e: 10000 ok, 0 fail (32910s, ETA 21276s)
[315/517] cbench__security_sha: 10000 ok, 0 fail (33309s, ETA 21360s)
[316/517] cbench__automotive_susan_c: 10000 ok, 0 fail (33330s, ETA 21201s)
[317/517] cbench__telecom_CRC32: 10000 ok, 0 fail (33607s, ETA 21203s)
[318/517] cbench__telecom_adpcm_c: 10000 ok, 0 fail (33645s, ETA 21054s)
[319/517] cbench__security_rijndael_d: 10000 ok, 0 fail (33779s, ETA 20966s)
[320/517] cbench__telecom_adpcm_d: 10000 ok, 0 fail (33947s, ETA 20898s)
[321/517] cbench__consumer_tiffmedian: 9998 ok, 2 fail (33971s, ETA 20743s)
[322/517] cbench__security_rijndael_e: 10000 ok, 0 fail (34001s, ETA 20590s)
[323/517] coyotebench__almabench: 10000 ok, 0 fail (34130s, ETA 20499s)
[324/517] cbench__automotive_susan_s: 10000 ok, 0 fail (34134s, ETA 20333s)
[325/517] coyotebench__huffbench: 10000 ok, 0 fail (34293s, ETA 20259s)
[326/517] dhrystone__dry: 10000 ok, 0 fail (34298s, ETA 20095s)
[327/517] coyotebench__lpbench: 9999 ok, 1 fail (34304s, ETA 19932s)
[328/517] dhrystone__fldry: 10000 ok, 0 fail (34430s, ETA 19839s)
[329/517] doe_proxyapps_c__XSBench: 10000 ok, 0 fail (34764s, ETA 19865s)
[330/517] doe_proxyapps_c__RSBench: 10000 ok, 0 fail (34824s, ETA 19734s)
[331/517] doe_proxyapps_c__Pathfinder: 9995 ok, 5 fail (34977s, ETA 19655s)
[332/517] mccat__01-qbsort: 10000 ok, 0 fail (35158s, ETA 19591s)
[333/517] mccat__03-testtrie: 10000 ok, 0 fail (35293s, ETA 19501s)
[334/517] doe_proxyapps_c__SimpleMOC: 10000 ok, 0 fail (35415s, ETA 19404s)
[335/517] mccat__04-bisect: 10000 ok, 0 fail (35501s, ETA 19287s)
[336/517] mccat__08-main: 10000 ok, 0 fail (35915s, ETA 19347s)
[337/517] mccat__05-eks: 9996 ok, 4 fail (36035s, ETA 19247s)
[338/517] mccat__09-vor: 10000 ok, 0 fail (36054s, ETA 19093s)
[339/517] doe_proxyapps_c__miniGMG: 9977 ok, 23 fail (36114s, ETA 18963s)
[340/517] mccat__12-IOtest: 10000 ok, 0 fail (36228s, ETA 18860s)
[341/517] mccat__15-trie: 10000 ok, 0 fail (36329s, ETA 18750s)
[342/517] mccat__17-bintr: 10000 ok, 0 fail (36358s, ETA 18604s)
[343/517] mcgill__chomp: 10000 ok, 0 fail (36456s, ETA 18494s)
[344/517] mcgill__exptree: 10000 ok, 0 fail (36550s, ETA 18381s)
[345/517] mcgill__misr: 10000 ok, 0 fail (36643s, ETA 18268s)
[346/517] mcgill__queens: 10000 ok, 0 fail (36651s, ETA 18113s)
[347/517] mediabench__adpcm__rawcaudio: 10000 ok, 0 fail (36760s, ETA 18009s)
[348/517] mediabench__adpcm__rawdaudio: 10000 ok, 0 fail (36870s, ETA 17905s)
[349/517] mediabench__g721__g721encode: 10000 ok, 0 fail (37142s, ETA 17879s)
[350/517] mibench__automotive-basicmath: 10000 ok, 0 fail (37257s, ETA 17777s)
[351/517] mibench__automotive-bitcount: 10000 ok, 0 fail (37521s, ETA 17745s)
[352/517] cbench__telecom_gsm: 9999 ok, 1 fail (37836s, ETA 17736s)
[353/517] mediabench__mpeg2__mpeg2dec: 9995 ok, 5 fail (38506s, ETA 17889s)
[354/517] mibench__network-dijkstra: 10000 ok, 0 fail (38859s, ETA 17893s)
[355/517] mibench__network-patricia: 9999 ok, 1 fail (39269s, ETA 17920s)
[356/517] mibench__office-stringsearch: 10000 ok, 0 fail (39696s, ETA 17952s)
[357/517] mallocbench__espresso: 9999 ok, 1 fail (39942s, ETA 17901s)
[358/517] mediabench__gsm__toast: 9999 ok, 1 fail (40958s, ETA 18191s)
[359/517] mibench__security-rijndael: 10000 ok, 0 fail (41159s, ETA 18114s)
[360/517] mibench__security-blowfish: 10000 ok, 0 fail (41312s, ETA 18017s)
[361/517] mibench__security-sha: 10000 ok, 0 fail (41325s, ETA 17858s)
[362/517] mibench__telecomm-CRC32: 10000 ok, 0 fail (41462s, ETA 17753s)
[363/517] mibench__consumer-lame: 9940 ok, 60 fail (41644s, ETA 17667s)
[364/517] mibench__telecomm-FFT: 10000 ok, 0 fail (41652s, ETA 17508s)
[365/517] misc__dt: 10000 ok, 0 fail (41747s, ETA 17385s)
[366/517] misc__ReedSolomon: 10000 ok, 0 fail (41784s, ETA 17239s)
[367/517] misc__fbench: 10000 ok, 0 fail (41969s, ETA 17154s)
[368/517] misc__evalloop: 10000 ok, 0 fail (41992s, ETA 17002s)
[369/517] misc__flops-1: 10000 ok, 0 fail (42060s, ETA 16870s)
[370/517] misc__ffbench: 10000 ok, 0 fail (42080s, ETA 16718s)
[371/517] misc__flops-2: 10000 ok, 0 fail (42246s, ETA 16625s)
[372/517] misc__flops-3: 10000 ok, 0 fail (42269s, ETA 16476s)
[373/517] misc__flops-4: 10000 ok, 0 fail (42338s, ETA 16345s)
[374/517] misc__flops-5: 10000 ok, 0 fail (42360s, ETA 16196s)
[375/517] mibench__consumer-jpeg: 10000 ok, 0 fail (42486s, ETA 16088s)
[376/517] misc__flops-6: 10000 ok, 0 fail (42525s, ETA 15947s)
[377/517] misc__flops-7: 10000 ok, 0 fail (42540s, ETA 15797s)
[378/517] misc__flops-8: 10000 ok, 0 fail (42616s, ETA 15671s)
[379/517] misc__fp-convert: 10000 ok, 0 fail (42753s, ETA 15567s)
[380/517] misc__flops: 10000 ok, 0 fail (42780s, ETA 15423s)
[381/517] misc__lowercase: 10000 ok, 0 fail (42811s, ETA 15282s)
[382/517] misc__mandel-2: 10000 ok, 0 fail (42887s, ETA 15156s)
[383/517] misc__himenobmtxpa: 10000 ok, 0 fail (42942s, ETA 15024s)
[384/517] misc__mandel: 10000 ok, 0 fail (43026s, ETA 14902s)
[385/517] misc__matmul_f64_4x4: 10000 ok, 0 fail (43099s, ETA 14777s)
[386/517] misc__perlin: 10000 ok, 0 fail (43175s, ETA 14653s)
[387/517] misc__pi: 10000 ok, 0 fail (43212s, ETA 14516s)
[388/517] misc__revertBits: 10000 ok, 0 fail (43299s, ETA 14396s)
[389/517] misc__richards_benchmark: 10000 ok, 0 fail (43410s, ETA 14284s)
[390/517] misc__salsa20: 10000 ok, 0 fail (43525s, ETA 14174s)
[391/517] misc__oourafft: 10000 ok, 0 fail (43537s, ETA 14030s)
[392/517] misc__whetstone: 9998 ok, 2 fail (43548s, ETA 13886s)
[393/517] npb-serial__is: 10000 ok, 0 fail (43740s, ETA 13801s)
[394/517] olden__bisort: 10000 ok, 0 fail (43833s, ETA 13684s)
[395/517] olden__health: 10000 ok, 0 fail (43879s, ETA 13552s)
[396/517] olden__mst: 10000 ok, 0 fail (43881s, ETA 13408s)
[397/517] olden__power: 10000 ok, 0 fail (44135s, ETA 13340s)
[398/517] polybench__datamining__covariance: 10000 ok, 0 fail (44199s, ETA 13215s)
[399/517] polybench__datamining__correlation: 10000 ok, 0 fail (44205s, ETA 13073s)
[400/517] olden__voronoi: 10000 ok, 0 fail (44305s, ETA 12959s)
[401/517] npb-serial__dc: 10000 ok, 0 fail (44373s, ETA 12836s)
[402/517] polybench__linear_algebra_blas__gemm: 10000 ok, 0 fail (44448s, ETA 12715s)
[403/517] polybench__linear_algebra_blas__gesummv: 10000 ok, 0 fail (44509s, ETA 12591s)
[404/517] polybench__linear_algebra_blas__gemver: 10000 ok, 0 fail (44522s, ETA 12453s)
[405/517] polybench__linear_algebra_blas__symm: 10000 ok, 0 fail (44618s, ETA 12339s)
[406/517] polybench__linear_algebra_blas__syr2k: 10000 ok, 0 fail (44681s, ETA 12216s)
[407/517] polybench__linear_algebra_blas__syrk: 10000 ok, 0 fail (44748s, ETA 12094s)
[408/517] polybench__linear_algebra_blas__trmm: 10000 ok, 0 fail (44810s, ETA 11971s)
[409/517] polybench__linear_algebra_kernels__2mm: 10000 ok, 0 fail (44840s, ETA 11840s)
[410/517] polybench__linear_algebra_kernels__3mm: 10000 ok, 0 fail (44946s, ETA 11730s)
[411/517] polybench__linear_algebra_kernels__atax: 10000 ok, 0 fail (44980s, ETA 11601s)
[412/517] polybench__linear_algebra_kernels__bicg: 10000 ok, 0 fail (45057s, ETA 11483s)
[413/517] polybench__linear_algebra_kernels__doitgen: 10000 ok, 0 fail (45119s, ETA 11362s)
[414/517] polybench__linear_algebra_kernels__mvt: 10000 ok, 0 fail (45143s, ETA 11231s)
[415/517] polybench__linear_algebra_solvers__cholesky: 9999 ok, 1 fail (45262s, ETA 11125s)
[416/517] polybench__linear_algebra_solvers__durbin: 10000 ok, 0 fail (45277s, ETA 10993s)
[417/517] polybench__linear_algebra_solvers__gramschmidt: 10000 ok, 0 fail (45378s, ETA 10882s)
[418/517] polybench__linear_algebra_solvers__lu: 10000 ok, 0 fail (45438s, ETA 10762s)
[419/517] polybench__linear_algebra_solvers__ludcmp: 10000 ok, 0 fail (45480s, ETA 10637s)
[420/517] polybench__linear_algebra_solvers__trisolv: 10000 ok, 0 fail (45558s, ETA 10522s)
[421/517] polybench__medley__deriche: 10000 ok, 0 fail (45615s, ETA 10401s)
[422/517] polybench__medley__floyd-warshall: 10000 ok, 0 fail (45676s, ETA 10283s)
[423/517] polybench__medley__nussinov: 9999 ok, 1 fail (45757s, ETA 10168s)
[424/517] polybench__stencils__adi: 10000 ok, 0 fail (45814s, ETA 10049s)
[425/517] polybench__stencils__fdtd-2d: 10000 ok, 0 fail (45890s, ETA 9934s)
[426/517] polybench__stencils__heat-3d: 10000 ok, 0 fail (45967s, ETA 9819s)
[427/517] polybench__stencils__jacobi-1d: 10000 ok, 0 fail (45973s, ETA 9690s)
[428/517] polybench__stencils__jacobi-2d: 10000 ok, 0 fail (46075s, ETA 9581s)
[429/517] polybench__stencils__seidel-2d: 10000 ok, 0 fail (46124s, ETA 9461s)
[430/517] prolangs-c__allroots: 10000 ok, 0 fail (46299s, ETA 9368s)
[431/517] prolangs-c__assembler: 10000 ok, 0 fail (46775s, ETA 9333s)
[432/517] prolangs-c__archie-client: 10000 ok, 0 fail (46799s, ETA 9208s)
[433/517] prolangs-c__cdecl: 10000 ok, 0 fail (47006s, ETA 9119s)
[434/517] prolangs-c__fixoutput: 10000 ok, 0 fail (47110s, ETA 9009s)
[435/517] prolangs-c__plot2fig: 10000 ok, 0 fail (47536s, ETA 8961s)
[436/517] prolangs-c__gnugo: 9997 ok, 3 fail (47796s, ETA 8880s)
[437/517] prolangs-c__agrep: 9997 ok, 3 fail (47893s, ETA 8768s)
[438/517] prolangs-c__bison: 10000 ok, 0 fail (47894s, ETA 8638s)
[439/517] ptrdist__anagram: 10000 ok, 0 fail (48271s, ETA 8577s)
[440/517] prolangs-c__unix-smail: 10000 ok, 0 fail (48332s, ETA 8458s)
[441/517] prolangs-c__football: 9991 ok, 9 fail (48354s, ETA 8333s)
[442/517] ptrdist__ft: 10000 ok, 0 fail (48705s, ETA 8264s)
[443/517] ptrdist__ks: 10000 ok, 0 fail (48750s, ETA 8143s)
[444/517] prolangs-c__unix-tbl: 9998 ok, 2 fail (48954s, ETA 8049s)
[445/517] shootout__ackermann: 10000 ok, 0 fail (48985s, ETA 7926s)
[446/517] shootout__ary3: 10000 ok, 0 fail (49034s, ETA 7806s)
[447/517] shootout__fib2: 10000 ok, 0 fail (49242s, ETA 7711s)
[448/517] ptrdist__yacr2: 10000 ok, 0 fail (49279s, ETA 7590s)
[449/517] shootout__hash: 10000 ok, 0 fail (49306s, ETA 7467s)
[450/517] shootout__heapsort: 10000 ok, 0 fail (49340s, ETA 7346s)
[451/517] ptrdist__bc: 9970 ok, 30 fail (49367s, ETA 7224s)
[452/517] shootout__hello: 10000 ok, 0 fail (49508s, ETA 7120s)
[453/517] shootout__matrix: 10000 ok, 0 fail (49603s, ETA 7008s)
[454/517] shootout__lists: 10000 ok, 0 fail (49608s, ETA 6884s)
[455/517] shootout__methcall: 10000 ok, 0 fail (49624s, ETA 6762s)
[456/517] shootout__nestedloop: 10000 ok, 0 fail (49644s, ETA 6641s)
[457/517] shootout__objinst: 10000 ok, 0 fail (49799s, ETA 6538s)
[458/517] shootout__random: 10000 ok, 0 fail (49873s, ETA 6425s)
[459/517] shootout__sieve: 10000 ok, 0 fail (49884s, ETA 6303s)
[460/517] shootout__strcat: 10000 ok, 0 fail (49902s, ETA 6184s)
[461/517] stanford__Bubblesort: 10000 ok, 0 fail (49930s, ETA 6065s)
[462/517] mibench__automotive-susan: 10000 ok, 0 fail (50065s, ETA 5960s)
[463/517] stanford__FloatMM: 10000 ok, 0 fail (50090s, ETA 5842s)
[464/517] stanford__IntMM: 10000 ok, 0 fail (50157s, ETA 5729s)
[465/517] stanford__Queens: 10000 ok, 0 fail (50213s, ETA 5615s)
[466/517] stanford__Oscar: 10000 ok, 0 fail (50216s, ETA 5496s)
[467/517] stanford__Puzzle: 9997 ok, 3 fail (50303s, ETA 5386s)
[468/517] stanford__Quicksort: 10000 ok, 0 fail (50350s, ETA 5272s)
[469/517] stanford__RealMM: 10000 ok, 0 fail (50378s, ETA 5156s)
[470/517] stanford__Towers: 10000 ok, 0 fail (50473s, ETA 5047s)
[471/517] stanford__Treesort: 10000 ok, 0 fail (50544s, ETA 4936s)
[472/517] trimaran__enc-pc1: 10000 ok, 0 fail (50703s, ETA 4834s)
[473/517] trimaran__enc-rc4: 10000 ok, 0 fail (50715s, ETA 4718s)
[474/517] trimaran__netbench-crc: 10000 ok, 0 fail (50827s, ETA 4611s)
[475/517] trimaran__netbench-url: 10000 ok, 0 fail (50985s, ETA 4508s)
[476/517] trimaran__enc-md5: 10000 ok, 0 fail (52057s, ETA 4484s)
[477/517] tsvc__ControlLoops-dbl: 10000 ok, 0 fail (53430s, ETA 4481s)
[478/517] tsvc__ControlLoops-flt: 10000 ok, 0 fail (53602s, ETA 4373s)
[479/517] tsvc__ControlFlow-dbl: 10000 ok, 0 fail (53643s, ETA 4256s)
[480/517] tsvc__ControlFlow-flt: 10000 ok, 0 fail (53681s, ETA 4138s)
[481/517] tsvc__CrossingThresholds-dbl: 10000 ok, 0 fail (54562s, ETA 4084s)
[482/517] tsvc__CrossingThresholds-flt: 10000 ok, 0 fail (55972s, ETA 4064s)
[483/517] tsvc__Equivalencing-dbl: 10000 ok, 0 fail (56029s, ETA 3944s)
[484/517] tsvc__Equivalencing-flt: 10000 ok, 0 fail (56091s, ETA 3824s)
[485/517] tsvc__Expansion-dbl: 10000 ok, 0 fail (56223s, ETA 3710s)
[486/517] tsvc__Expansion-flt: 10000 ok, 0 fail (57139s, ETA 3645s)
[487/517] tsvc__GlobalDataFlow-dbl: 10000 ok, 0 fail (58470s, ETA 3602s)
[488/517] tsvc__IndirectAddressing-dbl: 10000 ok, 0 fail (58495s, ETA 3476s)
[489/517] tsvc__GlobalDataFlow-flt: 10000 ok, 0 fail (58538s, ETA 3352s)
[490/517] tsvc__IndirectAddressing-flt: 10000 ok, 0 fail (58729s, ETA 3236s)
[491/517] tsvc__InductionVariable-dbl: 10000 ok, 0 fail (59743s, ETA 3164s)
[492/517] tsvc__InductionVariable-flt: 10000 ok, 0 fail (61002s, ETA 3100s)
[493/517] tsvc__LinearDependence-dbl: 10000 ok, 0 fail (61107s, ETA 2975s)
[494/517] tsvc__LinearDependence-flt: 10000 ok, 0 fail (61153s, ETA 2847s)
[495/517] tsvc__LoopRerolling-dbl: 10000 ok, 0 fail (61249s, ETA 2722s)
[496/517] tsvc__LoopRerolling-flt: 10000 ok, 0 fail (62220s, ETA 2634s)
[497/517] tsvc__LoopRestructuring-dbl: 9996 ok, 4 fail (63555s, ETA 2558s)
[498/517] tsvc__NodeSplitting-dbl: 10000 ok, 0 fail (63588s, ETA 2426s)
[499/517] tsvc__LoopRestructuring-flt: 9995 ok, 5 fail (63613s, ETA 2295s)
[500/517] tsvc__NodeSplitting-flt: 10000 ok, 0 fail (63723s, ETA 2167s)
[501/517] tsvc__Packing-dbl: 10000 ok, 0 fail (64599s, ETA 2063s)
[502/517] trimaran__enc-3des: 10000 ok, 0 fail (65661s, ETA 1962s)
[503/517] tsvc__Packing-flt: 10000 ok, 0 fail (65886s, ETA 1834s)
[504/517] tsvc__Recurrences-dbl: 10000 ok, 0 fail (65943s, ETA 1701s)
[505/517] tsvc__Recurrences-flt: 10000 ok, 0 fail (65963s, ETA 1567s)
[506/517] tsvc__Reductions-dbl: 10000 ok, 0 fail (66250s, ETA 1440s)
[507/517] tsvc__Reductions-flt: 10000 ok, 0 fail (67118s, ETA 1324s)
[508/517] tsvc__Searching-dbl: 10000 ok, 0 fail (67979s, ETA 1204s)
[509/517] tsvc__Searching-flt: 10000 ok, 0 fail (68081s, ETA 1070s)
[510/517] tsvc__StatementReordering-dbl: 10000 ok, 0 fail (68254s, ETA 937s)
[511/517] tsvc__StatementReordering-flt: 10000 ok, 0 fail (68265s, ETA 802s)
[512/517] versabench__8b10b: 10000 ok, 0 fail (68281s, ETA 667s)
[513/517] versabench__bmm: 10000 ok, 0 fail (68368s, ETA 533s)
[514/517] tsvc__Symbolics-dbl: 10000 ok, 0 fail (68547s, ETA 400s)
[515/517] versabench__dbms: 10000 ok, 0 fail (68944s, ETA 268s)
[516/517] versabench__ecbdes: 10000 ok, 0 fail (68997s, ETA 134s)
[517/517] tsvc__Symbolics-flt: 10000 ok, 0 fail (69327s, ETA 0s)

Все бенчмарки обработаны за 69327s (19.3h)
Склеено: 5170000 прогонов (5169736 успешных, 264 упавших)
Результаты: /Users/vladimirbelonin/Desktop/Projects/Compiler Causal Inference/experiments/results/all_results.parquet
